timestamp,B_to_P1,P1_to_B,C_to_B,B_to_C,recorder1_9m_b,recorder2_9m_b,recorder3_9m_b,recorder1_9m_p1,recorder2_9m_p1,recorder1_9m_c,recorder2_9m_c
2024-02-15 12:48:40,1.0,2.0,1.0,1.0,20.0,77.0,17.0,8.0,2.0,10.0,15.0
2024-02-15 12:48:50,0.0,0.0,0.0,0.0,37.0,69.0,12.0,11.0,7.0,11.0,14.0
2024-02-15 12:49:00,0.0,2.0,7.0,1.0,34.0,69.0,19.0,24.0,8.0,7.0,13.0
2024-02-15 12:49:10,0.0,0.0,1.0,1.0,40.0,74.0,34.0,19.0,6.0,2.0,19.0
2024-02-15 12:49:20,0.0,2.0,3.0,0.0,32.0,42.0,41.0,16.0,9.0,10.0,18.0
2024-02-15 12:49:30,1.0,1.0,3.0,1.0,28.0,30.0,25.0,17.0,12.0,13.0,21.0
2024-02-15 12:49:40,0.0,0.0,0.0,1.0,47.0,30.0,23.0,21.0,1.0,23.0,30.0
2024-02-15 12:49:50,0.0,0.0,3.0,1.0,42.0,58.0,31.0,28.0,8.0,22.0,22.0
2024-02-15 12:50:00,0.0,1.0,2.0,1.0,21.0,60.0,24.0,10.0,5.0,16.0,19.0
2024-02-15 12:50:10,0.0,1.0,0.0,1.0,25.0,61.0,11.0,10.0,0.0,26.0,36.0
2024-02-15 12:50:20,0.0,0.0,2.0,1.0,19.0,36.0,12.0,10.0,7.0,47.0,17.0
2024-02-15 12:50:30,2.0,0.0,0.0,1.0,24.0,36.0,14.0,13.0,14.0,62.0,17.0
2024-02-15 12:50:40,0.0,1.0,1.0,0.0,31.0,29.0,21.0,15.0,5.0,50.0,17.0
2024-02-15 12:50:50,0.0,1.0,1.0,2.0,29.0,26.0,19.0,28.0,8.0,5.0,23.0
2024-02-15 12:51:00,1.0,0.0,0.0,1.0,31.0,27.0,20.0,28.0,10.0,11.0,17.0
2024-02-15 12:51:10,2.0,0.0,1.0,1.0,33.0,23.0,17.0,10.0,12.0,12.0,23.0
2024-02-15 12:51:20,0.0,0.0,0.0,1.0,33.0,19.0,17.0,6.0,6.0,11.0,14.0
2024-02-15 12:51:30,1.0,0.0,1.0,2.0,23.0,18.0,13.0,18.0,7.0,7.0,10.0
2024-02-15 12:51:40,1.0,0.0,4.0,0.0,28.0,33.0,25.0,28.0,12.0,3.0,19.0
2024-02-15 12:51:50,0.0,0.0,1.0,3.0,41.0,58.0,33.0,15.0,11.0,8.0,24.0
2024-02-15 12:52:00,2.0,0.0,3.0,0.0,65.0,43.0,14.0,11.0,13.0,7.0,21.0
2024-02-15 12:52:10,1.0,0.0,1.0,1.0,52.0,36.0,15.0,18.0,11.0,15.0,32.0
2024-02-15 12:52:20,0.0,0.0,1.0,1.0,34.0,29.0,23.0,28.0,13.0,6.0,14.0
2024-02-15 12:52:30,0.0,0.0,0.0,2.0,26.0,18.0,17.0,26.0,15.0,2.0,16.0
2024-02-15 12:52:40,2.0,1.0,0.0,0.0,21.0,8.0,16.0,19.0,20.0,2.0,14.0
2024-02-15 12:52:50,0.0,1.0,1.0,0.0,20.0,3.0,17.0,7.0,11.0,0.0,10.0
2024-02-15 12:53:00,0.0,3.0,1.0,0.0,33.0,8.0,18.0,12.0,9.0,9.0,9.0
2024-02-15 12:53:10,0.0,0.0,1.0,1.0,34.0,10.0,19.0,13.0,10.0,4.0,10.0
2024-02-15 12:53:20,0.0,0.0,0.0,0.0,26.0,10.0,23.0,7.0,12.0,0.0,9.0
2024-02-15 12:53:30,1.0,0.0,1.0,0.0,17.0,8.0,24.0,14.0,8.0,8.0,20.0
2024-02-15 12:53:40,2.0,0.0,2.0,0.0,32.0,14.0,33.0,12.0,1.0,4.0,17.0
2024-02-15 12:53:50,0.0,0.0,1.0,0.0,41.0,26.0,20.0,16.0,5.0,12.0,21.0
2024-02-15 12:54:00,1.0,0.0,2.0,1.0,34.0,10.0,11.0,32.0,11.0,10.0,12.0
2024-02-15 12:54:10,3.0,0.0,1.0,0.0,41.0,15.0,15.0,13.0,8.0,11.0,10.0
2024-02-15 12:54:20,2.0,1.0,0.0,1.0,55.0,14.0,11.0,10.0,10.0,9.0,26.0
2024-02-15 12:54:30,0.0,1.0,1.0,0.0,34.0,17.0,13.0,10.0,10.0,5.0,20.0
2024-02-15 12:54:40,0.0,1.0,0.0,0.0,59.0,18.0,22.0,13.0,10.0,4.0,28.0
2024-02-15 12:54:50,1.0,0.0,0.0,0.0,45.0,15.0,14.0,10.0,8.0,12.0,21.0
2024-02-15 12:55:00,0.0,1.0,0.0,1.0,41.0,18.0,26.0,3.0,9.0,38.0,22.0
2024-02-15 12:55:10,0.0,0.0,1.0,2.0,24.0,14.0,28.0,0.0,4.0,37.0,40.0
2024-02-15 12:55:20,0.0,0.0,0.0,1.0,50.0,26.0,31.0,8.0,4.0,17.0,32.0
2024-02-15 12:55:30,0.0,0.0,0.0,0.0,42.0,22.0,20.0,17.0,11.0,29.0,19.0
2024-02-15 12:55:40,1.0,1.0,0.0,0.0,20.0,22.0,10.0,20.0,7.0,20.0,31.0
2024-02-15 12:55:50,0.0,0.0,1.0,1.0,29.0,20.0,12.0,17.0,5.0,21.0,32.0
2024-02-15 12:56:00,0.0,2.0,1.0,0.0,18.0,15.0,9.0,10.0,1.0,8.0,20.0
2024-02-15 12:56:10,0.0,0.0,1.0,0.0,26.0,8.0,13.0,8.0,11.0,4.0,18.0
2024-02-15 12:56:20,0.0,0.0,0.0,2.0,23.0,6.0,12.0,10.0,12.0,12.0,20.0
2024-02-15 12:56:30,0.0,0.0,0.0,1.0,33.0,6.0,9.0,13.0,18.0,4.0,22.0
2024-02-15 12:56:40,0.0,5.0,0.0,1.0,28.0,14.0,15.0,16.0,32.0,10.0,16.0
2024-02-15 12:56:50,0.0,0.0,0.0,0.0,26.0,26.0,11.0,31.0,11.0,13.0,17.0
2024-02-15 12:57:00,0.0,0.0,0.0,2.0,39.0,30.0,12.0,24.0,10.0,14.0,21.0
2024-02-15 12:57:10,0.0,3.0,0.0,0.0,59.0,59.0,21.0,12.0,15.0,17.0,22.0
2024-02-15 12:57:20,1.0,1.0,0.0,1.0,25.0,39.0,14.0,10.0,11.0,1.0,13.0
2024-02-15 12:57:30,0.0,0.0,1.0,1.0,46.0,14.0,18.0,4.0,9.0,0.0,12.0
2024-02-15 12:57:40,0.0,1.0,0.0,1.0,27.0,24.0,20.0,15.0,3.0,0.0,10.0
2024-02-15 12:57:50,1.0,0.0,1.0,2.0,24.0,20.0,19.0,20.0,6.0,2.0,22.0
2024-02-15 12:58:00,1.0,1.0,1.0,2.0,25.0,19.0,21.0,10.0,8.0,11.0,29.0
2024-02-15 12:58:10,0.0,1.0,1.0,1.0,31.0,22.0,12.0,18.0,16.0,10.0,23.0
2024-02-15 12:58:20,0.0,3.0,0.0,2.0,27.0,24.0,19.0,12.0,11.0,9.0,17.0
2024-02-15 12:58:30,1.0,0.0,1.0,1.0,27.0,19.0,41.0,11.0,10.0,19.0,21.0
2024-02-15 12:58:40,0.0,0.0,0.0,0.0,31.0,22.0,43.0,11.0,10.0,17.0,16.0
2024-02-15 12:58:50,0.0,0.0,1.0,2.0,27.0,26.0,38.0,9.0,11.0,17.0,19.0
2024-02-15 12:59:00,0.0,0.0,4.0,1.0,22.0,16.0,11.0,12.0,0.0,11.0,14.0
2024-02-15 12:59:10,0.0,0.0,2.0,0.0,27.0,4.0,5.0,15.0,6.0,12.0,32.0
2024-02-15 12:59:20,1.0,1.0,1.0,1.0,25.0,19.0,22.0,19.0,14.0,15.0,52.0
2024-02-15 12:59:30,1.0,0.0,0.0,2.0,29.0,29.0,18.0,10.0,16.0,36.0,27.0
2024-02-15 12:59:40,0.0,0.0,3.0,0.0,33.0,31.0,15.0,13.0,9.0,29.0,19.0
2024-02-15 12:59:50,0.0,2.0,1.0,1.0,29.0,26.0,14.0,12.0,5.0,7.0,15.0
2024-02-15 13:00:00,0.0,1.0,1.0,1.0,21.0,18.0,20.0,10.0,5.0,11.0,18.0
2024-02-15 13:00:10,0.0,1.0,1.0,0.0,14.0,16.0,11.0,4.0,7.0,5.0,15.0
2024-02-15 13:00:20,0.0,0.0,1.0,0.0,21.0,16.0,11.0,2.0,0.0,0.0,11.0
2024-02-15 13:00:30,1.0,0.0,3.0,1.0,18.0,10.0,13.0,11.0,8.0,0.0,5.0
2024-02-15 13:00:40,0.0,0.0,0.0,0.0,14.0,13.0,9.0,14.0,4.0,0.0,12.0
2024-02-15 13:00:50,0.0,0.0,4.0,0.0,7.0,5.0,7.0,6.0,0.0,1.0,11.0
2024-02-15 13:01:00,1.0,0.0,1.0,1.0,16.0,25.0,7.0,2.0,6.0,9.0,9.0
2024-02-15 13:01:10,0.0,0.0,2.0,1.0,20.0,27.0,12.0,3.0,3.0,0.0,8.0
2024-02-15 13:01:20,0.0,0.0,0.0,0.0,47.0,57.0,20.0,11.0,8.0,6.0,13.0
2024-02-15 13:01:30,1.0,0.0,2.0,0.0,60.0,66.0,29.0,13.0,2.0,2.0,13.0
2024-02-15 13:01:40,0.0,0.0,1.0,0.0,43.0,42.0,18.0,16.0,7.0,5.0,19.0
2024-02-15 13:01:50,0.0,0.0,1.0,1.0,39.0,51.0,31.0,11.0,8.0,8.0,11.0
2024-02-15 13:02:00,0.0,0.0,1.0,0.0,27.0,32.0,17.0,3.0,1.0,7.0,11.0
2024-02-15 13:02:10,0.0,0.0,1.0,0.0,16.0,43.0,19.0,15.0,4.0,1.0,19.0
2024-02-15 13:02:20,0.0,0.0,2.0,0.0,20.0,42.0,16.0,19.0,8.0,2.0,16.0
2024-02-15 13:02:30,0.0,0.0,1.0,1.0,31.0,38.0,15.0,8.0,7.0,13.0,31.0
2024-02-15 13:02:40,0.0,1.0,1.0,0.0,26.0,29.0,18.0,6.0,8.0,14.0,19.0
2024-02-15 13:02:50,0.0,0.0,3.0,0.0,30.0,30.0,19.0,3.0,10.0,12.0,18.0
2024-02-15 13:03:00,0.0,0.0,0.0,0.0,19.0,19.0,13.0,2.0,10.0,4.0,16.0
2024-02-15 13:03:10,0.0,0.0,1.0,0.0,15.0,11.0,20.0,1.0,10.0,2.0,8.0
2024-02-15 13:03:20,0.0,0.0,1.0,3.0,14.0,13.0,30.0,0.0,7.0,14.0,10.0
2024-02-15 13:03:30,1.0,0.0,1.0,0.0,18.0,29.0,21.0,8.0,5.0,4.0,18.0
2024-02-15 13:03:40,0.0,0.0,0.0,0.0,26.0,31.0,17.0,2.0,4.0,3.0,14.0
2024-02-15 13:03:50,0.0,0.0,2.0,0.0,29.0,28.0,18.0,3.0,3.0,13.0,25.0
2024-02-15 13:04:00,1.0,0.0,1.0,0.0,37.0,31.0,21.0,19.0,3.0,9.0,41.0
2024-02-15 13:04:10,0.0,0.0,2.0,2.0,25.0,27.0,15.0,13.0,6.0,18.0,19.0
2024-02-15 13:04:20,0.0,0.0,1.0,1.0,13.0,5.0,15.0,12.0,9.0,10.0,17.0
2024-02-15 13:04:30,0.0,0.0,2.0,0.0,13.0,7.0,17.0,15.0,11.0,4.0,13.0
2024-02-15 13:04:40,0.0,0.0,0.0,0.0,23.0,18.0,21.0,19.0,14.0,19.0,27.0
2024-02-15 13:04:50,0.0,2.0,3.0,1.0,39.0,22.0,27.0,20.0,13.0,15.0,23.0
2024-02-15 13:05:00,0.0,0.0,1.0,2.0,32.0,19.0,26.0,17.0,16.0,9.0,23.0
2024-02-15 13:05:10,1.0,1.0,2.0,0.0,27.0,23.0,18.0,15.0,13.0,8.0,21.0
2024-02-15 13:05:20,0.0,1.0,4.0,3.0,26.0,23.0,9.0,11.0,10.0,2.0,27.0
2024-02-15 13:05:30,0.0,0.0,0.0,0.0,23.0,20.0,10.0,8.0,12.0,3.0,19.0
2024-02-15 13:05:40,0.0,0.0,1.0,1.0,21.0,20.0,11.0,7.0,8.0,2.0,21.0
2024-02-15 13:05:50,0.0,0.0,1.0,0.0,12.0,31.0,9.0,5.0,3.0,3.0,17.0
2024-02-15 13:06:00,0.0,0.0,1.0,1.0,15.0,40.0,20.0,2.0,4.0,9.0,25.0
2024-02-15 13:06:10,0.0,0.0,0.0,0.0,17.0,36.0,20.0,9.0,4.0,7.0,25.0
2024-02-15 13:06:20,0.0,1.0,1.0,1.0,29.0,37.0,18.0,10.0,9.0,2.0,17.0
